ISBN,TITLE,AUTHOR,PRICE,URL,RENT,PUB,PICTURE,EXPLANZTION
9788960000000.0,"책벌레의 하극상 2부1 신전의 견습무녀,사서가 되기 위해서라면 뭐든지 할 수 있어",김봄,10000,https://book.naver.com/bookdb/book_detail.naver?bid=12009583,대출 중,길찾음,C:/Users/charm/Desktop/테스트_02데모데이터/01_신규등록내용/book01.jpg,"세례식을 마친 뒤 도서관이라는 인류의 보물이 있는 신전에서 청색 견습 무녀로 일하게 된 마인. 이제부턴 바라마지않던 도서관에서 책을 마음껏 읽을 수 있어! 라며 꿈에 부푼 마인이었지만, 수많은 난관이 기다리고 있었다. 시중을 들기는커녕 두통의 원인이 될 듯한 시종들, 귀족과 평민의 신분차가 매우 큰 이 세계에서 평민 주제에 푸른 옷을 입었다는 이유로 귀족 출신 청색 신관들이 보내는 경멸의 시선까지."
9791160000000.0,도티의 삶을 바꾸는 마술가게,제임스 도티,800,ook.naver.com/bookdb/book_detail.naver?bid=10823370,대출가능,판미동,C:/Users/charm/Desktop/테스트_02데모데이터/01_신규등록내용/book02.jpg,"꿈 없는 소년에서 스탠퍼드 신경의학자로, 삶의 방향을 선택하는 마술을 배우다! "
9791130000000.0,아비투스,도리스 메르틴,18000,https://book.naver.com/bookdb/book_detail.naver?bid=16440333,대출가능,다산초당,C:/Users/charm/Desktop/테스트_02데모데이터/01_신규등록내용/book03.jpg,"독일 최고의 컨설턴트 도리스 메르틴의 부와 성공에 대한 통념을 뒤집는 탁월한 통찰
인간의 품격을 결정하는 7가지 자본으로 ‘원하는 모습의 나’로 사는 방법을 알려주는 실용 인문서『아비투스』. 독일 최고의 컨설턴트인 저자는 20년 동안 다양한 계층의 수많은 사람을 만나며, 부, 성공, 건강, 인맥, 지식 등 원하는 것을 모두 이루며 사는 엘리트들의 핵심 비밀을 알게 됐다. 그건 바로 최상층의 ‘아비투스(HABITUS)’를 갖는 것. 아비투스는 프랑스 철학자 부르디외가 처음 제시한 개념으로, 사회문화적 환경에 의해 결정되는 제2의 본성, 즉 타인과 나를 구별 짓는 취향, 습관, 아우라를 일컫는다. 계층 및 사회적 지위의 결과이자 표현이기도 하지만, 저자는 “아비투스는 결코 돌에 새겨지지 않았다”고 선언하며, 노력 여하에 따라 얼마든지 새로운 아비투스를 가질 수 있다고 말한다. 심리, 문화, 지식, 경제, 신체, 언어, 사회 등 7가지 자본의 측면에서 어떤 아비투스가 부와 성공의 원천이 되는지를 이해하면, 노력의 방향이나 삶을 사는 태도 등을 재구성할 수 있는 것이다."
